Id,Namn,Yrke,Telfon,Email,iProgram
1,Per Gustafsson,Bussförare,0701231301,per@gmail.com,Ja
2,Lena Andersson,Säljare,0701231302,lena@gmail.com,Ja
3,Anders Karlsson,Kundtjänstmedarbetare,0701231303,anders@gmail.com,Nej
4,Ahmed Farah,Läkare,0701231304,Ahmed@gmail.com,Ja
5,Ola Manfred,Kock,0701231305,ola@gmail.com,Ja
6,Sara Kimball,Butiksbiträde,0701231306,sara@gmail.com,Nej
7,Annie Neither,Köksbiträde,0701231307,Annie@gmail.com,Nej
8,Mark Heja,Lärare i grundskolan,0701231308,Mark@gmail.com,Ja
9,Eva Johansson,Lärare i grundskolan,0701231309,eva@gmail.com,Nej
10,Erik Larsson,Lärare i grundskolan,0701231310,Erik@gmail.com,Nej
11,Ali Ramalah,Lärare i grundskolan,0701231311,ali@gmail.com,Nej
12,Anna Helin,Lärare i grundskolan,0701231312,Anna@gmail.com,Nej
13,Irma Johansson,Lärare i grundskolan,0701231313,Irma@gmail.com,Nej
14,Karin Johansson ,Lastbil förare,0701231314,Karin@gmail.com,Ja
15,Johan Olsson,Lastbil förare,0701231315,Johan@gmail.com,Ja
16,karin Karlsson,Lastbil förare,0701231316,Karlsson@gmail.com,Nej
17,Maria Olsson,Lastbil förare,0701231317,Maria@gmail.com,Ja
18,Jan Andersson,Mäklare,0701231318,Jan@gmail.com,Ja
19,Mikael Nilsson,Mäklare,0701231319,Mikael@gmail.com,Nej
20,Kristina Nilsson,Operatör,0701231320,Kristina@gmail.com,Nej
21,Lars Svensson ,Operatör,0701231321,Lars@gmail.com,Nej
22,Anders Karlsson,Personlig assistent,0701231322,Anders.Karlsson@gmail.com,Nej
23,Maria Nilsson,Personlig assistent,0701231323,Nilsson@gmail.com,Nej
24,Fatima Jama,Personlig assistent,0701231324,Fatima@gmail.com,Nej
25,Andreas Holo,Personlig assistent,0701231325,Holo@gmail.com,Nej
26,Yaye Fiidow,Personlig assistent,0701231326,Fiidow@gmail.com,Nej
27,Mimmi Maryan,Personlig assistent,0701231327,Maryan@gmail.com,Nej
28,Peter Eriksson,Sjuksköterska,0701231328,Eriksson@gmail.com,Nej
29,Ursula Bengtsson,Sjuksköterska,0701231329,Bengtsson@gmail.com,Nej
30,Siri Adamo,Sjuksköterska,0701231330,Siri.Adamo@gmail.com,Nej
31,Mary Gibert,Sjuksköterska,0701231331,M.Gibert@gmail.com,Nej
32,Adam Mark,Sjuksköterska,0701231332,M.Adam@gmail.com,Ja
33,Sofia Said ,Sjuksköterska,0701231333,Sofia@gmail.com,Ja
34,Anna Andersson,Snickare,0701231334,A.Andersson@gmail.com,Nej
35,Emma Nilsson,Snickare,0701231335,E.Nilsson@gmail.com,Ja
36,Ingrid Larsson,Snickare,0701231336,Ingrid@gmail.com,Nej
37,Hassan Jama,Snickare,0701231337,Hassan@gmail.com,Nej
38,Mikael Persson,Städare,0701231338,Persson@gmail.com,Nej
39,Thomas Svensson,Städare,0701231339,Svensson@gmail.com,Nej
40,Sara Olsson,Städare,0701231340,S.Olsson@gmail.com,Ja
41,Lars Karlsson,Städare,0701231341,L.Karlsson@gmail.com,Nej
42,Leah Olsson,Städare,0701231342,Leah.Olsson@gmail.com,Nej
43,Janne Marks,Undersköterska,0701231343,Janne@gmail.com,Ja
44,Lina Hansson,Undersköterska,0701231344,Lina@gmail.com,Nej
45,Rakel Alsm,Undersköterska,0701231345,Rakel@gmail.com,Nej
46,Lo Andersson,Undersköterska,0701231346,lo.Andersson@gmail.com,Ja
47,Glen Johansson,Undersköterska,0701231347,Glen@gmail.com,Nej
48,Fatima Mohair,Undersköterska,0701231348,Fatima@gmail.com,Nej
49,Sarah Najaf,Utvecklare,0701231349,Najaf@gmail.com,Ja
50,Owen Sten,Utvecklare,0701231350,Sten@gmail.com,Nej
51,Jason Mole,Utvecklare,0701231351,Jas.Mole@gmail.com,Nej
52,Lai Koh,Utvecklare,0701231352,Lai.Koh@gmail.com,Ja
